Food Resource Type,Agency,Location,Operational Status,Operational Notes,Current Process for Distribution,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Student To-Go Meals,Federal Way Public Schools,Meredith Hill Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Scholars will have a choice between a microwavable kit or ready to eat kit.  Parents may pick up for their children ages 18 or younger. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"5830 S 300th St, Federal Way, WA 98001",47.3338713,-122.2615799,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Sacajawea Middle School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"1101 S Dash Point Rd, Federal Way, WA 98003",47.334006,-122.3173799,,http://www.fwps.org/Page/7711,Wed: 9:30 AM - 11:30 AM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Camelot Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times;  Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"4041 S 298th St, Auburn, WA, 98001",47.3342076,-122.2843444,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Camelot Square Mobile Park Homes,Open,We now have 65 locations to pick up meals throughout the district! Meal kits include: 5 breakfasts and 5 lunches.  Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,3001 S 288th St Federal Way 98003,47.3391804,-122.2958255,,http://www.fwps.org/Page/7711,"Wed: 	
11:30 am -12:30 PM",09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Homestead Apartments,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"29225 Military Rd S, Federal Way, WA 98003",47.339869,-122.301005,,http://www.fwps.org/Page/7711,Wed: 1:30 pm -2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Camelot Square,Closed,Last day of summer meals August 10th. Please check district website for updates.,Drive Up/Walk Up,Youth and Young Adults,"3001 S 288 St, Federal Way, 98003",47.3400308,-122.2956342,,http://www.fwps.org/summermeals,Mon: 9:00 am - 10:30 am,08/21/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Lakota Middle School,Open,There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"1000 S 289th St, Federal Way, WA 98003",47.3427516,-122.3225921,,http://www.fwps.org/Page/7711,Wed: 9:30 AM - 11:30 AM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Thomas Jefferson High School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"4248 S 288th St, Auburn, WA 98001",47.345222,-122.278729,,http://www.fwps.org/Page/7711,Wed: 4:00 PM - 6:00 PM,09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Crestview West,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Scholars will have a choice between a microwavable kit or ready to eat kit.  Parents may pick up for their children ages 18 or younger. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"27912 Pacific Hwy S, Federal Way, WA 98003",47.3501906,-122.3116028,,http://www.fwps.org/Page/7711,Wed: 9:30 am -10:30 AM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Valhalla Elementary,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"27847 42nd Ave S, Federal Way, WA 98001",47.3512714,-122.2823053,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 pm,09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Mark Twain Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"2450 S Star Lake Rd, Federal Way, WA 98003",47.356407,-122.298965,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Totem Middle School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"26630 40th Ave S, Kent, WA 98032",47.362508,-122.2812387,,http://www.fwps.org/Page/7711,Wed: 9:30 am - 11:30 am,09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Appian Way Apartments,Open,There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Scholars will have a choice between a microwavable kit or ready to eat kit.  Parents may pick up for their children ages 18 or younger. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"25818 26th Pl S, Kent, WA 98032",47.3691527,-122.2990917,,http://www.fwps.org/Page/7711,Wed: 9:30 am -10:30 AM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way Public Schools,Apex Apartments,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times;  Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"24810 45th Ave S, Kent, WA 98032",47.3793859,-122.2765116,,http://www.fwps.org/Page/7711,Wed: 11:30 am -12:30 PM 1:30 pm -2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,The Ridge/The Shores Apartments,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"31912 3rd Ln SW, Federal Way, WA 98023",47.3159833,-122.3376499,,http://www.fwps.org/Page/7711,Wed: 11:00 am -12:00 pm,09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,Sunnycrest Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; the earliest starting at 9:30 a.m. and the latest ending at 6:00 p.m. Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"24629 42nd Ave S, Kent, WA 98032",47.3804809,-122.2817852,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 pm,09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,Sherwood Forrest Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"34600 12th Ave SW, Federal Way, WA 98023",47.2919804,-122.349735,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,Silver Lake Elementary School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"1310 SW 325th Pl, Federal Way, WA 98023",47.3108214,-122.3522802,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 PM,09/04/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,The Village @ Redondo Apartments,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"28300 18th Ave S, Federal Way, WA  98003",47.347507,-122.3121539,,http://www.fwps.org/Page/7711,"Wed: 	
11:30 am -12:30 pm",09/05/2020 12:00:00 AM
Student To-Go Meals,Federal Way School District,Woodmont K-8 School,Open,We now have 65 locations to pick up meals throughout the district! There will be multiple pick-up times; Meal kits include: 5 breakfasts and 5 lunches. Child does not need to be present. Please check district website for more information and bus routes,Drive Up/Walk Up,Youth and Young Adults,"26454 16th Ave S, Des Moines, WA 98198",47.363347,-122.3118161,,http://www.fwps.org/Page/7711,Wed: 12:30 pm - 2:30 pm,09/05/2020 12:00:00 AM
Food Bank,FEEST,FEEST,Closed,Closed permanently,Home Delivery,Youth and Young Adults,"605 SW 108th Street, Seattle, WA 98146",47.5045968,-122.3421452,(206)-348-3675,http://www.feestseattle.org/grocery-delivery-for-feest-families/?fbclid=IwAR3fbD03Mo8Dm9ZSvAPLjIbGchHsJrWhHI0xl0OnXSLV-Kzv7MdvdeRYsHA,,10/29/2020 12:00:00 AM
Student To-Go Meals,Fife Public Schools,Hedden Elementary,Closed,Free to all.,Drive Up/Walk Up,Youth and Young Adults,"11313 8th St E, Edgewood, WA 98372",47.2507175,-122.2776288,,http://www.fifeschools.com/news/what_s_new/mealdelivery,"Mon, Tues, Wed, Thurs, Fri
11:20 am - 12:00 pm",06/25/2020 12:00:00 AM
Food Bank & Meal,Filipino Community of Seattle,Filipino Community of Seattle Meals and Food Bank,Limited Operations,"Lunch and packed food items are delivered to homes of seniors and their families or are made available through curbside pickup at the Filipino Community Center.
If you know any seniors needing food in this time of crisis, please call 206-280-8406.",Home Delivery and Drive Up/Walk Up,"Food Banks: General Public
Meals: Older Adults 60+ and Eligible Participants","5740 Martin Luther King Jr Way S, Seattle, WA 98144",47.5500465,-122.2871358,(206)-722-9372,http://filcommsea.org/index.php/programs/senior-lunch-program/,"Food Bank:
Mon, Thurs
11:30 am -1:00 pm

Meals:
Mon, Tues Thurs: 11:30 am - 1:00 pm",10/29/2020 12:00:00 AM
Meal,Filipino Community of Seattle,Eritrean Association in Greater Seattle,Limited Operations,Please call ahead for availability,Home Delivery,Older Adults 60+ and Eligible Participants,"1528 Valentine Pl S, Seattle, WA 98144",47.5888499,-122.3070989,(206)-722-9372,,"To-go Meals:
Wed, Thurs: 11:00 am - 1:00 pm",10/01/2020 12:00:00 AM
Meal,First Covenant Church,,Open,"Preparing hot breakfast sandwiches and bag lunches,  ask guests to line up 6 feet apart",Onsite,Contact Agency for Any Eligibility Requirements,"400 E Pike St, Seattle, WA 98122",47.6142392,-122.3263239,(206)-322-7411,http://www.firstcovenantseattle.org/outreach,"Sat 
9:00 am - 9:30 am",10/30/2020 12:00:00 AM
Meal,First United Methodist Church of Seattle,,Closed,Closed,Closed,Contact Agency for Any Eligibility Requirements,"180 Denny Way, Seattle, WA 98109",47.6188068,-122.3531962,(206)-622-7278,http://www.firstchurchseattle.org/shared-breakfast/?fbclid=IwAR2EAykPB90--700TuZeuY3aX18yx3tXkg9lbCW8qVghb3RgTCJJnwkB7wQ,Closed,10/30/2020 12:00:00 AM
Meal,Food Not Bombs - Seattle,Occidental Park,Open,,Drive Up/Walk Up,General Public,"Occidental Ave S and S Main St, Seattle, WA 98104",47.6000475,-122.3328885,(206)-397-6815,http://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g,"Sun
4:30 pm - 7:00 pm",10/30/2020 12:00:00 AM
Meal,Food Not Bombs - Seattle,Cascade Playground,Open,"""Free Market"" Vegan and vegetarian groceries available.",Drive Up/Walk Up,General Public,"333 Pontius Ave N, Seattle, WA 98104",47.6015566,-122.3323351,(253)-237-6196,http://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g,Sun: 1:30 - 2:30 pm,10/30/2020 12:00:00 AM
Meal,Frelard Tamales,,Limited Operations,Free grab and go meal for people economically impacted by Covid-19.,Onsite,General Public,"6412 Latona Avenue NE, Seattle, WA 98115",47.6756763,-122.3252185,(206)-523-6654,http://www.frelardtamales.com/,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 8:00 pm
Sat, Sun
10:00 am - 5:00 pm",10/30/2020 12:00:00 AM
Meal,Greater Maple Valley Community Center,Greater Maple Valley Community Center,Limited Operations,Please call ahead for availability,Home Delivery and Drive Up/Walk Up,Older Adults 60+ and Eligible Participants,"22010 SE 248th St, Maple Valley, WA 98038",47.380747,-122.0477423,(425)-432-1272,http://www.maplevalleycc.org/,"To -go Meal: 
Mon, Wed, Fri: 12:00 pm -12:30 pm

Limited Delivery:
12:00 pm - 12:30 pm",10/30/2020 12:00:00 AM
Food Bank,Help Northwest,,Limited Operations,Food and clothing bank,Onsite,General Public,"404 22nd St SE, Auburn, WA 98002",47.2883898,-122.2238173,(206)-227-5977,http://www.helpnorthwest.com/1401.html,"Mon, Tues, Wed, Thurs, Fri
1:00pm - 5:00pm",10/29/2020 12:00:00 AM
Meal,Highland Improvement Club,,Limited Operations,Serving bag lunches for pickup Tuesday and Friday (and a weekend bag for Fridays). Produce boxes may be available as well.,Drive Up/Walk Up,General Public,"1116 SW Holden St, Seattle, WA 98106",47.5342332,-122.3500799,(206)-762-9825,http://www.facebook.com/HPIC1919/,"Tues, Fri
11:00 am - 1:00 pm",10/30/2020 12:00:00 AM
Food Bank,Highline Area Food Bank,Highline Area Food Bank,Open,We are asking our clients to wash hands when they enter the building and not to touch any thing while in the building. The food will be put in a bag or box in your cart all while asking you still which foods you would want. As you exit the building the cart will be given to you to go to your car. Please bring the cart back up to the door so that we may clean it before our next client.,Drive Up/Walk Up,General Public,"18300 4th Avenue South, Burien, WA 98148",47.4383823,-122.3275755,(206)-433-9900,http://www.highlineareafoodbank.org/,"Tues: 12:00 pm - 2:30 pm
Thurs: 10:00 am - 12:30 pm
(2nd Tues Evening of Each Month)   5:30 pm - 7:00 pm",10/30/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Parkside Elementary School,Closed,,Onsite,Seattle Public School Students,"2104 S 247th St, Des Moines, WA  98198",47.3810209,-122.3082346,(206)-878-2660,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Wed, Fri
11:30 pm - 12:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Seahurst Elementary,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"14603 14th Avenue SW, Burien, WA 98168",47.471084,-122.3537365,(206)-631-3000,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs
12:15 - 12:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Beverly Park Elementary,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"1201 S 104th Street, Seattle, WA 98168",47.5095983,-122.3172224,(206)-631-3000,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Wed, Fri
11:30 am - 12:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Parkside Elementary School,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"2104 S 247th St, Des Moines, WA 98198",47.3810209,-122.3060459,,http://www.issaquah.wednet.edu/family/supports/meals,"Mon, Thurs 4:00 - 6:00 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Pacific Middle School,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"22705 24th Ave S, Des Moines, WA 98198",47.3987365,-122.3040028,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs 11:00 - 11:20 am",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Mount Rainier High School,Open,"Weekly Meal Kit once a week (Mondays). Daily meals, and Weekly Meal Kits will include both breakfast and lunch. 

You must pre-order your child’s meals every week. Meals are free to all kids ages 1 to 18.

- daily meal pick up available at bus stops and other locations. please check district website for more information",Drive Up/Walk Up,Youth and Young Adults,"22450 19th Ave S, Des Moines, WA 98198",47.3999746,-122.3078396,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, 7:30 - 8:30 am
12:30 - 1:30 pm
3:00 - 4:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Midway Park,Closed,Meals are free to every Highline student and children 18 years or younger. Registration is not required. There are no forms to fill out and no names are written down.,Drive Up/Walk Up,Youth and Young Adults,"S 221st St, Seattle, WA 98198",47.4036179,-122.293101,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Tues, Wed, Thurs, Fri
12:30 pm - 1:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Willow Lake Apartments,Closed,Meals are free to every Highline student and children 18 years or younger. Registration is not required. There are no forms to fill out and no names are written down.,Drive Up/Walk Up,Youth and Young Adults,"3002 S 208th St, SeaTac, WA 98198",47.4166085,-122.2948383,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Tues, Wed, Thurs, Fri
11:45 am - 12:00 am",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Madrona Elementary School,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"20301 32nd Ave S, SeaTac, WA 98198",47.4203342,-122.2934237,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,Mon Thurs 11:00-11:20 am,09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Highline High School,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"615 S 200th St, Des Moines, WA 98198",47.4217275,-122.326755,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs 10:00 - 10:20 am",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Chinook Middle School,Open,"Weekly Meal Kit once a week (Mondays). Daily meals, and Weekly Meal Kits will include both breakfast and lunch. 

You must pre-order your child’s meals every week. Meals are free to all kids ages 1 to 18.

- daily meal pick up available at bus stops and other locations. please check district website for more information",Drive Up/Walk Up,Youth and Young Adults,"18650 42nd Ave S, SeaTac, WA 98188",47.4348463,-122.2808222,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon 7:30 am - 8:30 am
12:30 pm - 1:30 pm
3:00 pm - 4:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Tyee High School,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"4424 S 188th St, SeaTac, WA 98188",47.4352696,-122.278089,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs 
12:00 pm - 12:20 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Pine Ridge Apartments,Closed,No summer meals. Meals are free to every Highline student and children 18 years or younger. Registration is not required. There are no forms to fill out and no names are written down.,Drive Up/Walk Up,Youth and Young Adults,"3725 S 180th St, SeaTac, WA 98188",47.4409849,-122.2863407,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Tues, Wed, Thurs, Fri
1:00 pm - 1:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,McMicken Heights Park,Closed,Meals are free to every Highline student and children 18 years or younger. Registration is not required. There are no forms to fill out and no names are written down.,Drive Up/Walk Up,Youth and Young Adults,"S 166th St, Seattle, WA, 98188",47.4546176,-122.285593,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Tues, Wed, Thurs, Fri
11:30 am - 12:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Sylvester Middle School,Closed,no summer meals,Drive Up/Walk Up,Youth and Young Adults,"16222 Sylvester Rd SW, Burien, WA 98166",47.4570693,-122.3398358,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Wed, Fri
12:00 pm - 12:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Central Office,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"15675 Ambaum Blvd SW, Burien, WA 98166",47.462265,-122.337941,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs
12:00 pm - 12:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Glacier Middle School,Open,"Weekly Meal Kit once a week (Mondays). Daily meals, and Weekly Meal Kits will include both breakfast and lunch. 

You must pre-order your child’s meals every week. Meals are free to all kids ages 1 to 18.

- daily meal pick up available at bus stops and other locations. please check district website for more information",Drive Up/Walk Up,Youth and Young Adults,"2450 S 142nd St, SeaTac, WA 98168",47.4770549,-122.2998412,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon: 7:30 - 8:30 am
12:30 - 1:30 pm
3:00 - 4:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Alcove at Seahurst Apartments,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"14001 Ambaum Blvd SW, Burien, WA 98166",47.477476,-122.348236,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs 
11:15 - 11:35 am",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Evergreen High School,Open,"Weekly Meal Kit once a week (Mondays). Daily meals, and Weekly Meal Kits will include both breakfast and lunch. 

You must pre-order your child’s meals every week. Meals are free to all kids ages 1 to 18.

- daily meal pick up available at bus stops and other locations. please check district website for more information",Drive Up/Walk Up,Youth and Young Adults,"830 SW 116th St, Seattle, WA 98146",47.5001287,-122.3453187,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon:  7:30 - 8:30 am
12:30 - 1:30 pm
3:00 - 4:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,Cascade Middle School,Closed,Last day ls is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"11212 10th Ave SW, Seattle, WA 98146",47.5020997,-122.3457566,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs
12:00 pm - 12:20 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Highline Public Schools,White Center Heights Elementary,Closed,Last day of summer meals is August 27th. Please check district website for updates,Drive Up/Walk Up,Youth and Young Adults,"10015 6th Ave SW, Seattle, WA 98146",47.5133869,-122.3442142,,http://www.highlineschools.org/return-to-learn/family-guide/meals-for-students,"Mon, Thurs 11:00 - 11:20 am",09/04/2020 12:00:00 AM
Meal,Hillman City Collaboratory,,Closed,Closed,Closed,Contact Agency for Any Eligibility Requirements,"5623 Rainier Ave S, Seattle, WA 98118",47.5512938,-122.2780816,,http://www.hillmancitycollaboratory.org/,Closed,10/30/2020 12:00:00 AM
Food Bank,Holy Innocents Food Pantry,Holy Innocents Church,Limited Operations,Need to set an appointment for services via website: www.holyinn.org/85,Onsite,General Public,"26526 NE Cherry Valley Road, Duvall, WA 98019",47.7482852,-121.9818384,(425)-788-1400,http://www.holyinn.org/86,"Tues: 4:45 pm - 7:00 pm 
Wed: 10:00 am - 11:45 am",10/30/2020 12:00:00 AM
Meal,Holy Spirit Church,Holy Spirit Church,Open,Boxed dinner,Drive Up/Walk Up,General Public,"318 3rd Ave S, Kent, WA 98032",47.3790708,-122.2357517,(253)-859-0444,http://www.holyspiritkent.org/,"Tues: 6:30 pm - 7:00 pm, even numbered months only
Last Fri of the month: 5:00 pm - 6:00 pm",10/30/2020 12:00:00 AM
Food Bank,Holy Temple Evangelistic Center,,Limited Operations,Emergency food,Drive Up/Walk Up,General Public,"12600 Renton Ave S, Seattle, WA 98178",47.4917411,-122.2393177,(206)-722-3984,http://www.facebook.com/HolyTECSeattle/,Sat: 1:00pm -3:00pm,10/30/2020 12:00:00 AM
Food Bank,Hopelink,Fall City Library,Closed,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"33415 SE 42nd Pl, Fall City, WA 98024",47.5687511,-121.8939291,(425)-869-6000,http://www.hopelink.org/location/mobile-market,"1st & 3rd Wed
11:00 am - 12:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Bellevue Food Bank,Limited Operations,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"14812 Main St, Bellevue, WA 98007",47.6101989,-122.1414751,(425)-869-6000,http://www.hopelink.org/need-help/food#collapseTen,"Tues: 12:00 pm - 4:00 pm
Wed: 3:00 pm - 7:00 pm
Thurs: 10:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Sno-Valley Food Bank,Limited Operations,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"31957 East Commercial St, Carnation, WA 98014",47.6488697,-121.912673,(425)-869-6000,http://www.hopelink.org/need-help/food#collapseTen,"Wed: 3:00 pm - 7:00 pm
Thurs: 10:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Redmond Food Bank,Limited Operations,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"8990 154th Ave NE, Redmond, WA 98052",47.6818932,-122.13423,(425)-869-6000,http://www.hopelink.org/need-help/food#collapseTen,"Tues: 12:00 pm - 4:00 pm
Wed: 3:00 pm - 7:00 pm
Thurs: 10:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Kirkland Food Bank,Limited Operations,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"11011 120th Ave NE, Kirkland, WA 98033",47.6987817,-122.1818137,(425)-869-6000,http://www.hopelink.org/need-help/food#collapseTen,"Tues: 12:00 pm - 4:00 pm
Wed: 3:00 pm - 7:00 pm
Thurs: 10:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Duvall Depot Park,Limited Operations,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"26219 NE Burhen Way, Duvall, WA 98109",47.7423218,-121.9856781,(425)-869-6000,http://www.hopelink.org/location/mobile-market,"1st & 3rd Wed
2:00 pm - 3:00 pm",10/30/2020 12:00:00 AM
Food Bank,Hopelink,Woodenville Library,Closed,Pre-packaged grocery bags for pick up,Drive Up/Walk Up,General Public,"17105 Avondale Rd NE, Woodenville, WA 98072",47.7515963,-122.0819456,(425)-869-6000,http://www.hopelink.org/location/mobile-market,"1st & 3rd Tues
10:00 am - 11:30 am",10/30/2020 12:00:00 AM
